['Date', 'Delta', 'Gamma', 'Vega', 'Theta', '#Call', '#Put', '#CashSpot', '$P&L', '$Notional']
[20130606, -1513.210538609015, -76.754340557156979, -11969.712591743946, 7327.7900675515402, -5760, -5760, 0, -31345.480553713067, 244558.19077172739]
[20130607, -494.44042426633513, -86.127396414769734, -16059.963757280202, 5341.4049651968371, -6276, -6276, 0, -20496.563576991826, 259215.08912529142]
[20130610, -568.42336004692379, -90.657831043544576, -15383.077077459329, 5604.9406519830836, -6276, -6276, 0, -7803.9753957884568, 251411.11372950295]
[20130611, -1875.1068763825776, -79.609614518539757, -13755.631652591144, 6385.8669250569737, -6276, -6276, 0, 25926.079648631254, 277337.19337813422]
[20130612, -2751.7943862902002, -68.623533808432427, -12136.680765368155, 6715.1749667166869, -6276, -6276, 0, 33259.560163281276, 310596.7535414155]
[20130613, -1299.0103094460223, -115.04238026378391, -12806.437466345522, 8401.8526455709798, -6276, -6276, 0, -68126.879747969826, 242469.87379344567]
[20130614, -1694.6687684369472, -64.583289644255402, -14600.4702275911, 5429.1788646445475, -6276, -6276, 0, 42081.740875333548, 298701.97663321043]
[20130617, -1009.7398440351311, -74.563015309544284, -14488.68585279736, 5815.2960055410467, -6276, -6276, 0, -24262.578876887514, 274439.39775632293]
[20130618, -45.104620469002839, -88.038550921961999, -14055.887082466816, 7252.5703306723808, -6276, -6276, 0, -7489.4797182924012, 266949.9180380305]
[20130619, -1875.9629935846126, -65.468564668640582, -12342.316726892401, 5468.9945102281181, -6276, -6276, 0, 1400.5312152433835, 268350.4492532739]
[20130620, -3522.426726125304, -35.052045264519727, -8834.2408132649125, 4302.1299624205139, -6276, -6276, 0, 117908.6392893428, 386259.08854261669]
[20130621, -2374.8250370036749, -53.570581487569385, -14803.495747664358, 6083.9958385922255, -6503, -6503, 0, -55208.841074474127, 366360.83864571748]
[20130624, -3263.4683415159843, -42.097451692622563, -12164.699872532907, 4891.9008334256596, -6503, -6503, 0, 43932.469235349679, 410293.30788106716]
[20130625, -2945.86908648999, -46.329462591787461, -11911.847443148681, 4498.4411002417892, -6503, -6503, 0, -58169.093538739675, 352124.2143423275]
[20130626, -2429.8616455036781, -61.561262598904761, -12746.347868377026, 5342.9885212433655, -6503, -6503, 0, -51015.058592508125, 301109.15574981936]
